MeasureDate,Timepoint,Day,Slide,Spat,Sample,Genotype,Parent.Site,Total.Juveniles,Diversity.Type,Tank,Survivorship,Polyps,Fusion.Partners,Fusion,Treatment,Richness,Community,
8/14/18,Initial,0,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank17,1,1,0,NA,Ambient,1,Individual,CORRECT TO ORIGINAL MORTALITY
8/22/18,S1D3,3,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank17,1,1,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank18,1,1,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank21,1,1,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank18,1,2,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank17,1,2,0,NA,Ambient,1,Individual,
9/20/18,End,32,AS-2,1,AS-2-1,815-25,25,1,Individual,Tank17,1,1,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank21,1,2,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
9/20/18,End,32,AS-4,1,AS-4-1,807-42,42,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank21,1,2,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank17,1,3,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank21,1,5,0,NA,Ambient,1,Individual,
9/20/18,End,32,AS-7,1,AS-7-1,742-F,F,1,Individual,Tank21,1,5,0,NA,Ambient,1,Individual,
