MeasureDate,Timepoint,Day,Slide,Spat,Sample,Genotype,Parent.Site,Total.Juveniles,Diversity.Type,Tank,Survivorship,Polyps,Fusion.Partners,Fusion,Treatment,Richness,Community,
8/14/18,Initial,0,JA-19,2,JA-19-2,841-47,47,1,Self,Tank17,1,2,0,0,Ambient,1,Multiple,
8/22/18,S1D3,3,JA-19,2,JA-19-2,841-47,47,1,Self,Tank17,1,3,0,0,Ambient,1,Multiple,
8/30/18,S2R1,11,JA-19,2,JA-19-2,841-47,47,1,Self,Tank18,1,4,0,0,Ambient,1,Multiple,
9/5/18,S2D2,17,JA-19,2,JA-19-2,841-47,47,1,Self,Tank21,1,3,0,0,Ambient,1,Multiple,
9/11/18,S2D8,23,JA-19,2,JA-19-2,841-47,47,1,Self,Tank18,1,2,0,0,Ambient,1,Multiple,
9/14/18,S2D11,26,JA-19,2,JA-19-2,841-47,47,1,Self,Tank17,1,2,0,0,Ambient,1,Multiple,
9/20/18,End,32,JA-19,2,JA-19-2,841-47,47,1,Self,Tank17,0,NA,0,0,Ambient,1,Multiple,
8/14/18,Initial,0,JA-20,2,JA-20-2,841-47,47,2,Self,Tank23,1,4,0,0,Ambient,1,Multiple,
8/22/18,S1D3,3,JA-20,2,JA-20-2,841-47,47,2,Self,Tank23,1,5,0,0,Ambient,1,Multiple,
8/30/18,S2R1,11,JA-20,2,JA-20-2,841-47,47,2,Self,Tank21,1,6,0,0,Ambient,1,Multiple,
9/5/18,S2D2,17,JA-20,2,JA-20-2,841-47,47,2,Self,Tank23,1,5,0,0,Ambient,1,Multiple,
9/11/18,S2D8,23,JA-20,2,JA-20-2,841-47,47,2,Self,Tank21,1,7,0,0,Ambient,1,Multiple,
9/14/18,S2D11,26,JA-20,2,JA-20-2,841-47,47,2,Self,Tank23,1,7,0,0,Ambient,1,Multiple,
9/20/18,End,32,JA-20,2,JA-20-2,841-47,47,2,Self,Tank23,1,7,0,0,Ambient,1,Multiple,
8/14/18,Initial,0,JA-20,3,JA-20-3,841-47,47,2,Self,Tank23,1,3,0,0,Ambient,1,Multiple,
8/22/18,S1D3,3,JA-20,3,JA-20-3,841-47,47,2,Self,Tank23,1,4,0,0,Ambient,1,Multiple,
8/30/18,S2R1,11,JA-20,3,JA-20-3,841-47,47,2,Self,Tank21,1,4,0,0,Ambient,1,Multiple,
9/5/18,S2D2,17,JA-20,3,JA-20-3,841-47,47,2,Self,Tank23,0,NA,0,0,Ambient,1,Multiple,
9/11/18,S2D8,23,JA-20,3,JA-20-3,841-47,47,2,Self,Tank21,0,NA,0,0,Ambient,1,Multiple,
9/14/18,S2D11,26,JA-20,3,JA-20-3,841-47,47,2,Self,Tank23,0,NA,0,0,Ambient,1,Multiple,
9/20/18,End,32,JA-20,3,JA-20-3,841-47,47,2,Self,Tank23,0,NA,0,0,Ambient,1,Multiple,
8/22/18,S1D3,3,JN-1,1,JN-1-1,813-25,25,2,Non-Self,Tank23,1,4,0,0,Ambient,2,Multiple,
8/30/18,S2R1,11,JN-1,1,JN-1-1,813-25,25,2,Non-Self,Tank21,1,4,0,0,Ambient,2,Multiple,
9/5/18,S2D2,17,JN-1,1,JN-1-1,813-25,25,2,Non-Self,Tank23,1,3,0,0,Ambient,2,Multiple,
9/11/18,S2D8,23,JN-1,1,JN-1-1,813-25,25,2,Non-Self,Tank21,1,5,0,0,Ambient,2,Multiple,
9/14/18,S2D11,26,JN-1,1,JN-1-1,813-25,25,2,Non-Self,Tank23,1,4,0,0,Ambient,2,Multiple,
9/20/18,End,32,JN-1,1,JN-1-1,813-25,25,2,Non-Self,Tank23,1,4,0,0,Ambient,2,Multiple,
8/22/18,S1D3,3,JN-1,2,JN-1-2,831-47,47,2,Non-Self,Tank23,1,7,0,0,Ambient,2,Multiple,
8/30/18,S2R1,11,JN-1,2,JN-1-2,831-47,47,2,Non-Self,Tank21,1,6,0,0,Ambient,2,Multiple,
9/5/18,S2D2,17,JN-1,2,JN-1-2,831-47,47,2,Non-Self,Tank23,1,6,0,0,Ambient,2,Multiple,
9/11/18,S2D8,23,JN-1,2,JN-1-2,831-47,47,2,Non-Self,Tank21,1,6,0,0,Ambient,2,Multiple,
9/14/18,S2D11,26,JN-1,2,JN-1-2,831-47,47,2,Non-Self,Tank23,0,NA,0,0,Ambient,2,Multiple,
9/20/18,End,32,JN-1,2,JN-1-2,831-47,47,2,Non-Self,Tank23,0,NA,0,0,Ambient,2,Multiple,
8/14/18,Initial,0,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank21,1,1,0,0,Ambient,1,Multiple,
8/22/18,S1D3,3,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank21,1,2,0,0,Ambient,1,Multiple,
8/30/18,S2R1,11,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank23,1,2,0,0,Ambient,1,Multiple,
9/5/18,S2D2,17,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank17,1,2,0,0,Ambient,1,Multiple,
9/11/18,S2D8,23,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank23,1,2,0,0,Ambient,1,Multiple,
9/14/18,S2D11,26,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank21,1,2,0,0,Ambient,1,Multiple,
9/20/18,End,32,JN-17,3,JN-17-3,806-42,42,1,Non-Self,Tank21,1,3,0,0,Ambient,1,Multiple,
9/20/18,End,32,JN-22,1,JN-22-1,815-25,25,2,Non-Self,Tank23,1,2,0,0,Ambient,2,Multiple,
9/20/18,End,32,JN-22,2,JN-22-2,807-42,42,2,Non-Self,Tank23,1,6,0,0,Ambient,2,Multiple,
9/11/18,S2D8,23,JN-27,1,JN-27-1,821-47,47,2,Non-Self,Tank21,1,5,0,0,Ambient,2,Multiple,
9/14/18,S2D11,26,JN-27,1,JN-27-1,821-47,47,2,Non-Self,Tank23,1,5,0,0,Ambient,2,Multiple,
8/14/18,Initial,0,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank18,1,2,0,0,Ambient,1,Multiple,
8/22/18,S1D3,3,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank18,1,2,0,0,Ambient,1,Multiple,
8/30/18,S2R1,11,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank17,1,2,0,0,Ambient,1,Multiple,
9/5/18,S2D2,17,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank18,1,2,0,0,Ambient,1,Multiple,
9/11/18,S2D8,23,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank17,1,2,0,0,Ambient,1,Multiple,
9/14/18,S2D11,26,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank18,1,2,0,0,Ambient,1,Multiple,
9/20/18,End,32,JN-5,3,JN-5-3,804-42,42,1,Non-Self,Tank18,0,NA,0,0,Ambient,1,Multiple,
8/14/18,Initial,0,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank18,1,6,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank18,1,4,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank18,1,3,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-1,1,JS-1-1,813-25,25,1,Individual,Tank18,1,3,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank18,1,3,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank18,1,3,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank17,1,3,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank18,1,4,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank18,1,7,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-11,1,JS-11-1,841-47,47,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank21,1,4,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank23,1,5,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank23,1,7,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank21,1,7,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-13,1,JS-13-1,812-25,25,1,Individual,Tank21,1,7,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank17,1,3,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank17,1,3,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank18,1,3,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank18,1,4,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-25,1,JS-25-1,742-F,F,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank23,1,2,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank23,1,2,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank21,1,2,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-26,1,JS-26-1,742-F,F,1,Individual,Tank23,1,3,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank21,1,4,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank23,1,5,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank21,1,5,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-27,1,JS-27-1,821-47,47,1,Individual,Tank21,1,6,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank17,0,NA,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank18,0,NA,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank17,0,NA,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank18,0,NA,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-28,1,JS-28-1,821-47,47,1,Individual,Tank18,0,NA,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank17,1,6,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank17,1,6,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank18,1,6,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank21,1,7,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank18,1,8,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank17,1,9,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-30,1,JS-30-1,807-42,42,1,Individual,Tank17,1,9,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank18,1,6,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank18,1,6,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank17,1,6,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank18,1,6,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank17,1,7,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank18,1,8,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-31,1,JS-31-1,807-42,42,1,Individual,Tank18,1,12,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank23,1,5,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank21,1,5,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank23,1,6,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank21,1,7,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank23,1,7,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-33,1,JS-33-1,743-13,13,1,Individual,Tank23,1,7,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank21,1,7,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank18,1,9,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank17,1,9,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-37,1,JS-37-1,806-42,42,1,Individual,Tank17,1,8,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank17,1,6,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank18,1,7,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-38,1,JS-38-1,806-42,42,1,Individual,Tank18,1,7,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-39,1,JS-39-1,806-42,42,1,Individual,Tank19,1,2,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank21,1,8,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank21,1,8,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank23,1,8,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank17,1,8,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank23,1,8,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank21,1,9,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-42,1,JS-42-1,813-25,25,1,Individual,Tank21,1,10,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank23,1,2,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank21,1,4,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank23,1,4,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank21,1,5,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank23,1,6,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-46,1,JS-46-1,806-42,42,1,Individual,Tank23,1,6,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank18,1,1,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank18,1,2,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank17,1,3,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank18,1,3,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank18,1,4,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-47,1,JS-47-1,806-42,42,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank17,1,8,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank17,1,8,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank18,1,8,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank21,1,8,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank18,1,10,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank17,1,10,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-48,1,JS-48-1,823-1,1,1,Individual,Tank17,1,10,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank18,1,4,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank21,1,3,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank18,1,4,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank17,1,4,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-5,1,JS-5-1,741-F,F,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
8/22/18,S1D3,3,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank17,1,5,0,NA,Ambient,1,Individual,
8/30/18,S2R1,11,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank18,1,5,0,NA,Ambient,1,Individual,
9/5/18,S2D2,17,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank21,1,5,0,NA,Ambient,1,Individual,
9/11/18,S2D8,23,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank18,1,6,0,NA,Ambient,1,Individual,
9/14/18,S2D11,26,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank17,1,6,0,NA,Ambient,1,Individual,
9/20/18,End,32,JS-9,1,JS-9-1,841-47,47,1,Individual,Tank17,1,6,0,NA,Ambient,1,Individual,
8/14/18,Initial,0,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank17,1,4,1,1,Ambient,2,Multiple,
8/22/18,S1D3,3,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank17,1,5,1,1,Ambient,2,Multiple,
8/30/18,S2R1,11,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank18,1,6,1,1,Ambient,2,Multiple,
9/5/18,S2D2,17,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank21,1,7,1,1,Ambient,2,Multiple,
9/11/18,S2D8,23,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank18,1,7,1,1,Ambient,2,Multiple,
9/14/18,S2D11,26,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank17,1,7,1,1,Ambient,2,Multiple,
9/20/18,End,32,AN-10,1,AN-10-1,807-42,42,2,Non-Self,Tank17,1,7,1,1,Ambient,2,Multiple,
8/14/18,Initial,0,AN-10,2,AN-10-2,806-42,42,2,Non-Self,Tank17,1,1,1,1,Ambient,2,Multiple,
8/22/18,S1D3,3,AN-10,2,AN-10-2,806-42,42,2,Non-Self,Tank17,1,2,1,1,Ambient,2,Multiple,
8/30/18,S2R1,11,AN-10,2,AN-10-2,806-42,42,2,Non-Self,Tank18,1,2,1,1,Ambient,2,Multiple,
9/5/18,S2D2,17,AN-10,2,AN-10-2,806-42,42,2,Non-Self,Tank21,1,3,1,1,Ambient,2,Multiple,
9/11/18,S2D8,23,AN-10,2,AN-10-2,806-42,42,2,Non-Self,Tank18,1,4,1,1,Ambient,2,Multiple,
9/14/18,S2D11,26,AN-10,2,AN-10-2,806-42,42,2,Non-Self,Tank17,1,4,1,1,Ambient,2,Multiple,
